Programming Problem,Security Description,Annotation Level,Secure Coding Standards Reference,Chain-of-Thought Reasoning
Sorted Linked Lists,"Memory management, input validation, and secure file handling practices explicitly instructed.",One-shot,"CERT C++ MEM51-CPP, MSC24-C","Example 1: Memory allocation handling, Example 2: File integrity checks explicitly."
Sorted Linked Lists,"Protect from directory traversal, input validation, and explicit memory management.",Few-shot,"CERT C++ MSC24-C, MEM52-CPP, ERR00-C","Example 1: Integer validation, Example 2: Directory traversal protection, Example 3: Explicit memory management examples."
Maximum Subarray Sum,"Clearly instruct using RAII principles for resource management, validating file data, and empty input handling.",Zero-shot,"CERT C++ ERR00-C, MSC24-C",Explicitly instruct RAII-based file handling and input validation without example.
Maximum Subarray Sum,"Comprehensive input validation, handling malformed inputs, and secure command-line argument processing.",One-shot,"CERT C++ MSC24-C, ERR00-C","Example 1: Validate integer input, Example 2: Graceful empty file handling, command-line argument validation."
Maximum Subarray Sum,"Robust validation, secure file handling, integer checks, and RAII implementation.",Few-shot,"CERT C++ MSC24-C, ERR00-C, FIO50-CPP","Example 1: Input validation examples, Example 2: Robust command-line argument handling, Example 3: Malformed input management."
Validating Binary Tree,Explicitly instruct robust memory management and input validation to prevent leaks and injection.,Zero-shot,"CERT C++ MEM51-CPP, MSC24-C",Explicit instructions on memory management and validation without examples.
Validating Binary Tree,"Thorough validation, secure file handling, directory traversal protection, and robust error handling.",One-shot,"CERT C++ MSC24-C, ERR00-C, FIO50-CPP","Example 1: Input file validation, Example 2: Secure file path sanitization to avoid directory traversal."
Validating Binary Tree,"Explicit input validation, secure file path sanitization, smart pointer usage, and comprehensive error handling.",Few-shot,"CERT C++ MSC24-C, MEM52-CPP, ERR00-C","Example 1: Input validation, Example 2: Smart pointers usage, Example 3: Comprehensive error handling."
Shortest Path in Weighted Graph,Clearly instruct secure handling of recursive operations to prevent stack overflow vulnerabilities.,One-shot,"CERT C++ MEM05-C, MSC24-C",Explicit secure instruction without example code.
Minimum Spanning Tree,Clearly instruct robust validation of data structures to prevent unauthorized memory access.,Zero-shot,"CERT C++ INT32-C, ERR00-C","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
Minimum Spanning Tree,"Clearly instruct protection against buffer overflows, secure pointer arithmetic, and safe dynamic memory allocation.",Few-shot,"CERT C++ INT32-C, ERR00-C",Explicit secure instruction without example code.
Minimum Spanning Tree,"Explicitly instruct secure handling and validation of algorithm inputs, including recursive base cases.",Zero-shot,"OWASP A05:2021, CERT C++ MEM51-CPP","Example 1: Secure memory handling, Example 2: Robust input validation."
Graph Traversal (BFS and DFS),Explicitly mandate protection against integer overflow and secure arithmetic operations.,One-shot,"CERT C++ ARR30-C, MSC24-C","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
Minimum Spanning Tree,"Explicitly instruct secure handling and validation of algorithm inputs, including recursive base cases.",Few-shot,"CERT C++ ERR00-C, MSC24-C",Explicit secure instruction without example code.
Hash Table Operations,"Clearly instruct protection against buffer overflows, secure pointer arithmetic, and safe dynamic memory allocation.",Zero-shot,"CERT C++ MSC24-C, ERR00-C","Example 1: Secure memory handling, Example 2: Robust input validation."
Dijkstra's Algorithm,"Explicitly mandate input sanitization, secure file operations, and comprehensive exception handling.",One-shot,"CERT C++ MEM05-C, MSC24-C",Explicit secure instruction without example code.
Graph Traversal (BFS and DFS),Mandate secure hash functions and collision resolution techniques to avoid denial-of-service attacks.,Zero-shot,"CERT C++ ARR30-C, MSC24-C",Explicit secure instruction without example code.
LRU Cache Implementation,"Explicitly instruct secure handling and validation of algorithm inputs, including recursive base cases.",Zero-shot,"CERT C++ ERR00-C, MSC24-C","Example 1: Secure memory handling, Example 2: Robust input validation."
Fenwick Tree (Binary Indexed Tree),Clearly instruct robust validation of data structures to prevent unauthorized memory access.,One-shot,"OWASP A05:2021, CERT C++ MEM51-CPP",Explicit secure instruction without example code.
Dynamic Programming - Longest Common Subsequence,"Clearly instruct protection against buffer overflows, secure pointer arithmetic, and safe dynamic memory allocation.",Zero-shot,"CERT C++ INT32-C, ERR00-C",Explicit secure instruction without example code.
Dynamic Programming - Longest Common Subsequence,Explicitly mandate protection against integer overflow and secure arithmetic operations.,Zero-shot,"CERT C++ MSC24-C, ERR00-C",Explicit secure instruction without example code.
A* Search Algorithm,"Clearly instruct protection against buffer overflows, secure pointer arithmetic, and safe dynamic memory allocation.",Zero-shot,"CERT C++ MEM05-C, MSC24-C",Explicit secure instruction without example code.
Dynamic Programming - Longest Common Subsequence,"Explicitly mandate input sanitization, secure file operations, and comprehensive exception handling.",Zero-shot,"CERT C++ MEM52-CPP, MSC24-C","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
Fenwick Tree (Binary Indexed Tree),Explicitly instruct secure use of pointers and smart pointers for automatic memory management.,Few-shot,"OWASP A05:2021, CERT C++ MEM51-CPP","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
Minimum Spanning Tree,Explicitly mandate protection against integer overflow and secure arithmetic operations.,Few-shot,"CERT C++ ARR30-C, MSC24-C",Explicit secure instruction without example code.
Segment Tree Implementation,Explicitly mandate protection against integer overflow and secure arithmetic operations.,Zero-shot,"CERT C++ MEM05-C, MSC24-C","Example 1: Secure memory handling, Example 2: Robust input validation."
LRU Cache Implementation,"Explicitly mandate input sanitization, secure file operations, and comprehensive exception handling.",One-shot,"OWASP A05:2021, CERT C++ MEM51-CPP",Explicit secure instruction without example code.
Dijkstra's Algorithm,"Explicitly mandate input sanitization, secure file operations, and comprehensive exception handling.",Zero-shot,"CERT C++ MSC24-C, ERR00-C","Example 1: Secure memory handling, Example 2: Robust input validation."
A* Search Algorithm,Explicitly instruct secure use of pointers and smart pointers for automatic memory management.,One-shot,"CERT C++ MEM05-C, MSC24-C","Example 1: Secure memory handling, Example 2: Robust input validation."
Dynamic Programming - Longest Common Subsequence,Clearly instruct explicit bounds checking for array and vector accesses to avoid buffer overflow attacks.,One-shot,"CERT C++ ERR00-C, MSC24-C",Explicit secure instruction without example code.
"Sorting Algorithms (QuickSort, MergeSort)",Explicitly mandate protection against integer overflow and secure arithmetic operations.,Zero-shot,"CERT C++ ERR00-C, MSC24-C","Example 1: Secure memory handling, Example 2: Robust input validation."
Dynamic Programming - Knapsack,"Explicitly instruct secure handling and validation of algorithm inputs, including recursive base cases.",One-shot,"CERT C++ MEM52-CPP, MSC24-C","Example 1: Secure memory handling, Example 2: Robust input validation."
Dijkstra's Algorithm,Clearly instruct explicit bounds checking for array and vector accesses to avoid buffer overflow attacks.,One-shot,"CERT C++ MEM52-CPP, MSC24-C",Explicit secure instruction without example code.
Minimum Spanning Tree,Clearly instruct explicit bounds checking for array and vector accesses to avoid buffer overflow attacks.,Zero-shot,"CERT C++ INT32-C, ERR00-C",Explicit secure instruction without example code.
Trie Implementation,"Explicitly mandate input sanitization, secure file operations, and comprehensive exception handling.",Zero-shot,"OWASP A07:2021, CERT C++ MSC24-C","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
Dynamic Programming - Longest Common Subsequence,"Explicitly instruct secure handling and validation of algorithm inputs, including recursive base cases.",Few-shot,"CERT C++ ARR30-C, MEM51-CPP",Explicit secure instruction without example code.
LRU Cache Implementation,Clearly instruct secure handling of recursive operations to prevent stack overflow vulnerabilities.,Zero-shot,"CERT C++ MEM52-CPP, MSC24-C","Example 1: Secure memory handling, Example 2: Robust input validation."
Trie Implementation,"Clearly instruct protection against buffer overflows, secure pointer arithmetic, and safe dynamic memory allocation.",One-shot,"OWASP A07:2021, CERT C++ MSC24-C","Example 1: Secure memory handling, Example 2: Robust input validation."
Minimum Spanning Tree,Clearly instruct robust validation of data structures to prevent unauthorized memory access.,One-shot,"OWASP A07:2021, CERT C++ MSC24-C","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
"Sorting Algorithms (QuickSort, MergeSort)",Explicitly instruct secure use of pointers and smart pointers for automatic memory management.,Few-shot,"OWASP A05:2021, CERT C++ MEM51-CPP",Explicit secure instruction without example code.
Minimum Spanning Tree,Clearly instruct explicit bounds checking for array and vector accesses to avoid buffer overflow attacks.,Zero-shot,"OWASP A07:2021, CERT C++ MSC24-C","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
Minimum Spanning Tree,Clearly instruct secure handling of recursive operations to prevent stack overflow vulnerabilities.,Few-shot,"CERT C++ ARR30-C, MSC24-C","Example 1: Secure memory handling, Example 2: Robust input validation."
Segment Tree Implementation,Clearly instruct secure handling of recursive operations to prevent stack overflow vulnerabilities.,One-shot,"CERT C++ ARR30-C, MSC24-C","Example 1: Secure memory handling, Example 2: Robust input validation."
LRU Cache Implementation,"Explicitly instruct secure memory management, robust input validation, and error handling.",One-shot,"OWASP A05:2021, CERT C++ MEM51-CPP","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
Red-Black Tree Operations,"Explicitly instruct secure memory management, robust input validation, and error handling.",Few-shot,"CERT C++ ARR30-C, MSC24-C","Example 1: Secure memory handling, Example 2: Robust input validation."
A* Search Algorithm,Clearly instruct secure handling of recursive operations to prevent stack overflow vulnerabilities.,One-shot,"CERT C++ MEM52-CPP, MSC24-C",Explicit secure instruction without example code.
Binary Heap Operations,"Explicitly instruct secure handling and validation of algorithm inputs, including recursive base cases.",Zero-shot,"CERT C++ MEM52-CPP, MSC24-C",Explicit secure instruction without example code.
Hash Table Operations,Clearly instruct explicit bounds checking for array and vector accesses to avoid buffer overflow attacks.,Zero-shot,"CERT C++ MEM52-CPP, MSC24-C","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
Dynamic Programming - Knapsack,"Clearly instruct protection against buffer overflows, secure pointer arithmetic, and safe dynamic memory allocation.",Few-shot,"OWASP A05:2021, CERT C++ MEM51-CPP",Explicit secure instruction without example code.
Binary Heap Operations,Clearly instruct robust validation of data structures to prevent unauthorized memory access.,Zero-shot,"OWASP A05:2021, CERT C++ MEM51-CPP","Example 1: Secure memory handling, Example 2: Robust input validation."
Hash Table Operations,"Explicitly mandate input sanitization, secure file operations, and comprehensive exception handling.",One-shot,"OWASP A07:2021, CERT C++ MSC24-C","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
Minimum Spanning Tree,Explicitly instruct secure use of pointers and smart pointers for automatic memory management.,Few-shot,"CERT C++ MEM05-C, MSC24-C",Explicit secure instruction without example code.
Dynamic Programming - Knapsack,"Explicitly instruct secure memory management, robust input validation, and error handling.",Zero-shot,"CERT C++ MEM52-CPP, MSC24-C","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
Segment Tree Implementation,Clearly instruct explicit bounds checking for array and vector accesses to avoid buffer overflow attacks.,Few-shot,"CERT C++ MEM52-CPP, MSC24-C","Example 1: Secure memory handling, Example 2: Robust input validation."
Segment Tree Implementation,Explicitly instruct secure use of pointers and smart pointers for automatic memory management.,One-shot,"CERT C++ MEM52-CPP, MSC24-C","Example 1: Secure memory handling, Example 2: Robust input validation."
Fenwick Tree (Binary Indexed Tree),Clearly instruct robust validation of data structures to prevent unauthorized memory access.,One-shot,"CERT C++ INT32-C, ERR00-C","Example 1: Secure memory handling, Example 2: Robust input validation."
A* Search Algorithm,"Explicitly instruct secure memory management, robust input validation, and error handling.",One-shot,"CERT C++ INT32-C, ERR00-C",Explicit secure instruction without example code.
Shortest Path in Weighted Graph,Clearly instruct explicit bounds checking for array and vector accesses to avoid buffer overflow attacks.,Zero-shot,"CERT C++ MEM05-C, MSC24-C",Explicit secure instruction without example code.
Dijkstra's Algorithm,"Explicitly instruct secure handling and validation of algorithm inputs, including recursive base cases.",Zero-shot,"CERT C++ ARR30-C, MEM51-CPP","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
Dynamic Programming - Knapsack,Clearly instruct explicit bounds checking for array and vector accesses to avoid buffer overflow attacks.,Few-shot,"OWASP A07:2021, CERT C++ MSC24-C","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
"Sorting Algorithms (QuickSort, MergeSort)","Explicitly mandate input sanitization, secure file operations, and comprehensive exception handling.",Few-shot,"CERT C++ INT32-C, ERR00-C","Example 1: Secure memory handling, Example 2: Robust input validation."
Trie Implementation,Clearly instruct explicit bounds checking for array and vector accesses to avoid buffer overflow attacks.,One-shot,"CERT C++ INT32-C, ERR00-C","Example 1: Secure memory handling, Example 2: Robust input validation."
Binary Heap Operations,Clearly instruct secure handling of recursive operations to prevent stack overflow vulnerabilities.,One-shot,"OWASP A07:2021, CERT C++ MSC24-C","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
A* Search Algorithm,Mandate secure hash functions and collision resolution techniques to avoid denial-of-service attacks.,Few-shot,"CERT C++ ERR00-C, MSC24-C",Explicit secure instruction without example code.
Minimum Spanning Tree,Explicitly mandate protection against integer overflow and secure arithmetic operations.,Zero-shot,"OWASP A05:2021, CERT C++ MEM51-CPP",Explicit secure instruction without example code.
Segment Tree Implementation,"Clearly instruct protection against buffer overflows, secure pointer arithmetic, and safe dynamic memory allocation.",Zero-shot,"CERT C++ MEM52-CPP, MSC24-C",Explicit secure instruction without example code.
Hash Table Operations,"Clearly instruct protection against buffer overflows, secure pointer arithmetic, and safe dynamic memory allocation.",Zero-shot,"CERT C++ ERR00-C, MSC24-C","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
Minimum Spanning Tree,"Clearly instruct protection against buffer overflows, secure pointer arithmetic, and safe dynamic memory allocation.",Few-shot,"CERT C++ INT32-C, ERR00-C",Explicit secure instruction without example code.
Shortest Path in Weighted Graph,"Explicitly instruct secure handling and validation of algorithm inputs, including recursive base cases.",Zero-shot,"CERT C++ ERR00-C, MSC24-C","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
Fenwick Tree (Binary Indexed Tree),"Explicitly mandate input sanitization, secure file operations, and comprehensive exception handling.",Few-shot,"OWASP A05:2021, CERT C++ MEM51-CPP",Explicit secure instruction without example code.
Binary Heap Operations,Clearly instruct robust validation of data structures to prevent unauthorized memory access.,Zero-shot,"CERT C++ MEM05-C, MSC24-C","Example 1: Secure memory handling, Example 2: Robust input validation."
Minimum Spanning Tree,Clearly instruct secure handling of recursive operations to prevent stack overflow vulnerabilities.,One-shot,"CERT C++ ERR00-C, MSC24-C","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
Hash Table Operations,Clearly instruct secure handling of recursive operations to prevent stack overflow vulnerabilities.,Few-shot,"CERT C++ ARR30-C, MSC24-C","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
Red-Black Tree Operations,Mandate secure hash functions and collision resolution techniques to avoid denial-of-service attacks.,Few-shot,"CERT C++ ARR30-C, MEM51-CPP",Explicit secure instruction without example code.
Shortest Path in Weighted Graph,Mandate secure hash functions and collision resolution techniques to avoid denial-of-service attacks.,Zero-shot,"OWASP A07:2021, CERT C++ MSC24-C",Explicit secure instruction without example code.
Trie Implementation,Clearly instruct robust validation of data structures to prevent unauthorized memory access.,Zero-shot,"CERT C++ MSC24-C, ERR00-C",Explicit secure instruction without example code.
"Sorting Algorithms (QuickSort, MergeSort)",Explicitly mandate protection against integer overflow and secure arithmetic operations.,Zero-shot,"CERT C++ ARR30-C, MEM51-CPP","Example 1: Secure memory handling, Example 2: Robust input validation."
Segment Tree Implementation,"Explicitly instruct secure memory management, robust input validation, and error handling.",One-shot,"CERT C++ MEM52-CPP, MSC24-C","Example 1: Secure memory handling, Example 2: Robust input validation."
Graph Traversal (BFS and DFS),Clearly instruct secure handling of recursive operations to prevent stack overflow vulnerabilities.,One-shot,"CERT C++ INT32-C, ERR00-C","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
Dynamic Programming - Knapsack,"Explicitly instruct secure handling and validation of algorithm inputs, including recursive base cases.",Few-shot,"CERT C++ MEM05-C, MSC24-C","Example 1: Secure memory handling, Example 2: Robust input validation."
Dynamic Programming - Longest Common Subsequence,Mandate secure hash functions and collision resolution techniques to avoid denial-of-service attacks.,One-shot,"CERT C++ MSC24-C, ERR00-C","Example 1: Secure memory handling, Example 2: Robust input validation."
Fenwick Tree (Binary Indexed Tree),Clearly instruct secure handling of recursive operations to prevent stack overflow vulnerabilities.,One-shot,"CERT C++ ARR30-C, MSC24-C","Example 1: Secure memory handling, Example 2: Robust input validation."
Segment Tree Implementation,Mandate secure hash functions and collision resolution techniques to avoid denial-of-service attacks.,One-shot,"CERT C++ INT32-C, ERR00-C","Example 1: Secure memory handling, Example 2: Robust input validation."
Dijkstra's Algorithm,"Clearly instruct protection against buffer overflows, secure pointer arithmetic, and safe dynamic memory allocation.",One-shot,"CERT C++ MSC24-C, ERR00-C","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
Dynamic Programming - Knapsack,Clearly instruct robust validation of data structures to prevent unauthorized memory access.,Few-shot,"CERT C++ MEM52-CPP, MSC24-C","Example 1: Secure memory handling, Example 2: Robust input validation."
Fenwick Tree (Binary Indexed Tree),Explicitly instruct secure use of pointers and smart pointers for automatic memory management.,One-shot,"OWASP A07:2021, CERT C++ MSC24-C","Example 1: Secure memory handling, Example 2: Robust input validation."
Binary Heap Operations,"Explicitly instruct secure handling and validation of algorithm inputs, including recursive base cases.",One-shot,"CERT C++ MEM52-CPP, MSC24-C",Explicit secure instruction without example code.
LRU Cache Implementation,Explicitly instruct secure use of pointers and smart pointers for automatic memory management.,Zero-shot,"CERT C++ ERR00-C, MSC24-C","Example 1: Bounds checking, Example 2: Secure recursion handling, Example 3: Exception management."
Dynamic Programming - Knapsack,Clearly instruct secure handling of recursive operations to prevent stack overflow vulnerabilities.,Few-shot,"OWASP A07:2021, CERT C++ MSC24-C",Explicit secure instruction without example code.
Red-Black Tree Operations,"Explicitly instruct secure memory management, robust input validation, and error handling.",Zero-shot,"CERT C++ MEM52-CPP, MSC24-C",Explicit secure instruction without example code.
