Programming Problem,Problem Description,Annotation Level,Security Instructions (Explicit Requirements),Secure Coding Examples (Chain-of-Thought Reasoning),Secure Coding Standards & References,Chain-of-Thought Reasoning (Secure Coding Examples),Expected Output Instructions,Security Description,Chain-of-Thought Reasoning,Secure Coding Standards Reference
One-Page Contact Application in C#,"Develop a secure single-page contact form application using the Model-View-Controller (MVC) design pattern in C#. The application must authenticate users before allowing them to submit, update, and delete contact information.",Zero-shot,"Explicitly instruct to use secure MVC development practices in C#, ensuring input validation, proper authentication, and secure database interactions. Ensure all user interactions are authenticated, and prevent unauthorized access.","<No explicit code examples; instruct clearly to enforce secure authentication, validation, and safe data handling in MVC architecture>","OWASP ASVS (V1.4: Authentication and Access Control), OWASP Top 10 (Injection - A03:2021), CERT C# Coding Standards (MSC24-C: Input Validation)",<None for Zero-shot>,Clearly specify secure coding instructions for implementing an MVC contact application in C#.,,,
,,One-shot,"Explicitly instruct secure coding practices such as parameterized queries to prevent SQL injection, secure connection string storage, and proper resource management using the 'using' statement.",Example: Implement parameterized SQL queries to mitigate SQL injection risks. Example: Store the database connection string securely using configuration encryption. Example: Use 'using' statements to manage SQL connections properly.,"OWASP ASVS (V1.4: Authentication and Access Control), CERT C# (ERR00-C: Secure Error Handling), MSC24-C (Input Validation)",Example: Secure parameterized query for database interaction to prevent SQL injection. Example: Secure handling of connection strings using environment variables. Example: Implement 'using' statements for resource cleanup.,"Explicitly request secure examples demonstrating SQL security, connection string protection, and resource management.",,,
,,Few-shot,"Comprehensively instruct implementation of secure access controls, serialization techniques, proper input sanitization, and encryption of transmitted data between client and server using TLS or HTTPS.",Example 1: Implement robust access control for web forms to prevent unauthorized access. | Example 2: Use serialization techniques to ensure secure communication between web form server and untrusted clients. | Example 3: Sanitize HTML input from WYSIWYG editors to prevent XSS attacks. | Example 4: Enforce TLS encryption for all data transmitted between server and clients.,"OWASP ASVS (V1.4: Authentication and Access Control), OWASP Top 10 (A03:2021 Injection, A07:2021 Identification and Authentication Failures), CERT C# (MSC24-C: Secure Input Validation, FIO30-C: Secure Serialization, NET50-C: Secure Data Transmission)",Example 1: Implement access control to prevent unauthorized form access. | Example 2: Use secure serialization methods to protect data integrity. | Example 3: Sanitize all untrusted input using HTML sanitization libraries. | Example 4: Enforce secure data transmission using HTTPS.,"Provide comprehensive secure code examples covering authentication, authorization, serialization, input sanitization, and secure data transmission.",,,
One-Page Contact Application in C#,,One-shot,Encode all user-generated content before rendering it on the web page to prevent XSS attacks.,,OWASP Top Ten: A07:2021 – Identification and Authentication Failures; Microsoft Secure Coding Guidelines,Example: Use Razor's automatic HTML encoding features in ASP.NET MVC to safely display user input.,Provide explicit examples demonstrating output encoding to prevent XSS vulnerabilities.,,,
,,One-shot,Implement anti-forgery tokens to protect against CSRF attacks.,,OWASP Top Ten: A08:2021 – Software and Data Integrity Failures; Microsoft Secure Coding Guidelines,Example: Use ASP.NET MVC's built-in [ValidateAntiForgeryToken] attribute to secure form submissions.,Provide explicit examples demonstrating the implementation of anti-forgery tokens to prevent CSRF attacks.,,,
,,One-shot,Use binding attributes to prevent mass assignment vulnerabilities.,,OWASP Top Ten: A04:2021 – Insecure Design; Wikipedia: Mass Assignment Vulnerability,Example: Apply the [Bind(Exclude = 'IsAdmin')] attribute to model properties that should not be updated by user input.,Provide explicit examples demonstrating the use of binding attributes to prevent mass assignment vulnerabilities.,,,
,,One-shot,Validate and sanitize all HTTP parameters to prevent HTTP Parameter Pollution (HPP) attacks.,,OWASP Top Ten: A01:2021 – Broken Access Control; Wikipedia: HTTP Parameter Pollution,Example: Implement strict parameter validation logic to ensure only expected parameters are processed.,Provide explicit examples demonstrating parameter validation to mitigate HPP attacks.,,,
,,One-shot,Configure custom error pages to prevent leakage of stack traces and sensitive information.,,OWASP Top Ten: A09:2021 – Security Logging and Monitoring Failures; Microsoft Secure Coding Guidelines,Example: Set up custom error pages in ASP.NET MVC to handle exceptions gracefully.,Provide explicit examples demonstrating secure error handling practices.,,,
One-Page Contact Application in C#,,Few-shot,"Implement a combination of security measures including input validation, authentication, authorization, data encryption, and secure session management.",,OWASP Top Ten: Multiple Categories; Microsoft Secure Coding Guidelines,Example 1: Validate and sanitize all user inputs to prevent injection attacks. | Example 2: Implement role-based access control to restrict access to certain functionalities. | Example 3: Encrypt sensitive data both at rest and in transit using TLS/SSL protocols. | Example 4: Ensure secure session management by setting appropriate cookie flags and session timeouts.,Provide comprehensive examples demonstrating the implementation of multiple security measures in the application.,,,
Searching Using Wildcard Patterns,,Zero-shot,,,,,,Clearly instruct sanitizing and validating all user input. Explicitly mandate the use of secure query handling techniques to prevent injection attacks.,Explicitly instruct secure input handling and query construction without example code.,"OWASP A03:2021, CERT C++ STR31-C"
Searching Using Wildcard Patterns,,One-shot,,,,,,Sanitize and validate user input thoroughly to prevent SQL injection attacks by explicitly mandating parameterized queries or prepared statements.,Example 1: Validate 'pattern' using regex and parameterized queries.,"OWASP A03:2021, CERT C++ ENV02-C, MSC24-C"
Searching Using Wildcard Patterns,,Few-shot,,,,,,Explicitly validate inputs to allow only permitted characters. Mandate secure external configuration files and robust encryption for sensitive data handling.,Example 1: Input validation using allowed character sets. Example 2: Secure external configuration with encryption. Example 3: Robust AES encryption.,"OWASP A03:2021, A04:2021, CERT C++ MSC24-C, CTR02-C"
Wildcard Pattern Matching,,Zero-shot,,,,,,Sanitize filenames provided by users and validate inputs explicitly to prevent unauthorized file access or injection attacks.,Explicitly instruct sanitization of filenames and secure file handling without example code.,"OWASP A03:2021, CERT C++ MSC24-C"
Wildcard Pattern Matching,,One-shot,,,,,,"Explicitly instruct input sanitization, secure file handling via parameterized arguments, and robust resource cleanup on errors.",Example 1: Filename sanitization and parameter validation. Example 2: RAII-based file handling (std::ifstream/std::ofstream).,"OWASP A03:2021, CERT C++ ERR00-C, MSC24-C"
Wildcard Pattern Matching,,Few-shot,,,,,,"Comprehensively validate the wildcard pattern, securely manage database credentials via configuration files, and implement robust encryption mechanisms.","Example 1: Pattern validation, Example 2: Configuration file security, Example 3: AES encryption implementation, resource cleanup explicitly shown.","OWASP A03:2021, A04:2021, CERT C++ MSC24-C, CTR02-C"
Reverse Linked List (k-groups),,Zero-shot,,,,,,"Clearly instruct ensuring robust input validation, preventing integer overflow, and proper memory management.",Explicitly instruct secure input validation and integer overflow protection.,"CERT C++ INT32-C, MEM51-CPP"
Reverse Linked List (k-groups),,One-shot,,,,,,"Explicitly instruct thorough validation of inputs, prevention of integer overflow, and use smart pointers to automate memory management.","Example 1: Integer overflow checks, Example 2: Smart pointers (std::unique_ptr) for memory management.","CERT C++ INT32-C, MEM52-CPP"
Reverse Linked List (k-groups),,Few-shot,,,,,,"Mandate comprehensive input validation, secure memory handling, and protection from integer overflow explicitly.","Examples clearly illustrate integer validation, smart pointer usage, and secure input handling.","CERT C++ INT32-C, MEM52-CPP, MSC24-C"
Sorted Linked Lists,,Zero-shot,,,,,,Explicitly instruct validating inputs and ensuring proper memory allocation and deallocation to prevent memory leaks.,Explicit instructions validating inputs and secure memory handling without code example.,"CERT C++ MEM51-CPP, MSC24-C"
Sorted Linked Lists,,One-shot,,,,,,"Explicitly instruct secure memory handling, input validation, and file integrity checks to mitigate risks.","Example 1: Memory allocation handling, Example 2: File integrity checks explicitly.","CERT C++ MEM51-CPP, MSC24-C"
Sorted Linked Lists,,Few-shot,,,,,,"Comprehensively instruct on secure file handling to prevent directory traversal attacks, enforce input validation, and explicit memory management.","Example 1: Integer validation, Example 2: Directory traversal protection, Example 3: Explicit memory management examples.","CERT C++ MSC24-C, MEM52-CPP, ERR00-C"
Maximum Subarray Sum,,Zero-shot,,,,,,"Clearly instruct using RAII principles to securely manage file resources, validate file data, and gracefully handle empty inputs.",Explicitly instruct RAII-based file handling and input validation without example.,"CERT C++ MSC24-C, ERR00-C"
Maximum Subarray Sum,,One-shot,,,,,,"Explicitly instruct comprehensive input validation, graceful handling of malformed inputs, and command-line argument security.","Example 1: Validate integer input, Example 2: Graceful empty file handling, command-line argument validation.","CERT C++ MSC24-C, ERR00-C"
Maximum Subarray Sum,,Few-shot,,,,,,"Explicitly mandate integer validation, robust file integrity checking, command-line argument validation, and thorough resource management practices.","Example 1: Input validation examples, Example 2: Robust command-line argument handling, Example 3: Malformed input management.","CERT C++ MSC24-C, ERR00-C, FIO50-CPP"
Validating Binary Tree,,Zero-shot,,,,,,"Explicitly instruct validating inputs robustly, ensuring proper memory deallocation to prevent memory leaks.",Explicit instructions on memory management and validation without examples.,"CERT C++ MSC24-C, MEM51-CPP"
Validating Binary Tree,,One-shot,,,,,,"Clearly instruct thorough input validation, robust error handling, and protection against directory traversal through secure file handling.","Example 1: Input file validation, Example 2: Secure file path sanitization to avoid directory traversal.","CERT C++ MSC24-C, ERR00-C"
Validating Binary Tree,,Few-shot,,,,,,"Provide explicit instructions for robust input validation, secure file handling, smart pointer use, and comprehensive error handling.","Example 1: Input validation, Example 2: Smart pointers usage, Example 3: Comprehensive error handling.","CERT C++ MSC24-C, MEM52-CPP, ERR00-C"
Searching Using Wildcard Patterns,,Zero-shot,,,,,,Clearly instruct sanitizing and validating all user input. Explicitly mandate the use of secure query handling techniques to prevent injection attacks.,Explicitly instruct secure input handling and query construction without example code.,"OWASP A03:2021, CERT C++ STR31-C"
Searching Using Wildcard Patterns,,One-shot,,,,,,Sanitize and validate user input thoroughly to prevent SQL injection attacks by explicitly mandating parameterized queries or prepared statements.,Example 1: Validate 'pattern' using regex and parameterized queries.,"OWASP A03:2021, CERT C++ ENV02-C, MSC24-C"
Searching Using Wildcard Patterns,,Few-shot,,,,,,Explicitly validate inputs to allow only permitted characters. Mandate secure external configuration files and robust encryption for sensitive data handling.,Example 1: Input validation using allowed character sets. Example 2: Secure external configuration with encryption. Example 3: Robust AES encryption.,"OWASP A03:2021, A04:2021, CERT C++ MSC24-C, CTR02-C"
Wildcard Pattern Matching,,Zero-shot,,,,,,Sanitize filenames provided by users and validate inputs explicitly to prevent unauthorized file access or injection attacks.,Explicitly instruct sanitization of filenames and secure file handling without example code.,"OWASP A03:2021, CERT C++ MSC24-C"
Wildcard Pattern Matching,,One-shot,,,,,,"Explicitly instruct input sanitization, secure file handling via parameterized arguments, and robust resource cleanup on errors.",Example 1: Filename sanitization and parameter validation. Example 2: RAII-based file handling (std::ifstream/std::ofstream).,"OWASP A03:2021, CERT C++ ERR00-C, MSC24-C"
Wildcard Pattern Matching,,Few-shot,,,,,,"Comprehensively validate the wildcard pattern, securely manage database credentials via configuration files, and implement robust encryption mechanisms.","Example 1: Pattern validation, Example 2: Configuration file security, Example 3: AES encryption implementation, resource cleanup explicitly shown.","OWASP A03:2021, A04:2021, CERT C++ MSC24-C, CTR02-C"
Reverse Linked List (k-groups),,Zero-shot,,,,,,"Clearly instruct ensuring robust input validation, preventing integer overflow, and proper memory management.",Explicitly instruct secure input validation and integer overflow protection.,"CERT C++ INT32-C, MEM51-CPP"
Reverse Linked List (k-groups),,One-shot,,,,,,"Explicitly instruct thorough validation of inputs, prevention of integer overflow, and use smart pointers to automate memory management.","Example 1: Integer overflow checks, Example 2: Smart pointers (std::unique_ptr) for memory management.","CERT C++ INT32-C, MEM52-CPP"
Reverse Linked List (k-groups),,Few-shot,,,,,,"Mandate comprehensive input validation, secure memory handling, and protection from integer overflow explicitly.","Examples clearly illustrate integer validation, smart pointer usage, and secure input handling.","CERT C++ INT32-C, MEM52-CPP, MSC24-C"
Sorted Linked Lists,,Zero-shot,,,,,,Explicitly instruct validating inputs and ensuring proper memory allocation and deallocation to prevent memory leaks.,Explicit instructions validating inputs and secure memory handling without code example.,"CERT C++ MEM51-CPP, MSC24-C"
Sorted Linked Lists,,One-shot,,,,,,"Explicitly instruct secure memory handling, input validation, and file integrity checks to mitigate risks.","Example 1: Memory allocation handling, Example 2: File integrity checks explicitly.","CERT C++ MEM51-CPP, MSC24-C"
Sorted Linked Lists,,Few-shot,,,,,,"Comprehensively instruct on secure file handling to prevent directory traversal attacks, enforce input validation, and explicit memory management.","Example 1: Integer validation, Example 2: Directory traversal protection, Example 3: Explicit memory management examples.","CERT C++ MSC24-C, MEM52-CPP, ERR00-C"
Maximum Subarray Sum,,Zero-shot,,,,,,"Clearly instruct using RAII principles to securely manage file resources, validate file data, and gracefully handle empty inputs.",Explicitly instruct RAII-based file handling and input validation without example.,"CERT C++ MSC24-C, ERR00-C"
Maximum Subarray Sum,,One-shot,,,,,,"Explicitly instruct comprehensive input validation, graceful handling of malformed inputs, and command-line argument security.","Example 1: Validate integer input, Example 2: Graceful empty file handling, command-line argument validation.","CERT C++ MSC24-C, ERR00-C"
Maximum Subarray Sum,,Few-shot,,,,,,"Explicitly mandate integer validation, robust file integrity checking, command-line argument validation, and thorough resource management practices.","Example 1: Input validation examples, Example 2: Robust command-line argument handling, Example 3: Malformed input management.","CERT C++ MSC24-C, ERR00-C, FIO50-CPP"
Validating Binary Tree,,Zero-shot,,,,,,"Explicitly instruct validating inputs robustly, ensuring proper memory deallocation to prevent memory leaks.",Explicit instructions on memory management and validation without examples.,"CERT C++ MSC24-C, MEM51-CPP"
Validating Binary Tree,,One-shot,,,,,,"Clearly instruct thorough input validation, robust error handling, and protection against directory traversal through secure file handling.","Example 1: Input file validation, Example 2: Secure file path sanitization to avoid directory traversal.","CERT C++ MSC24-C, ERR00-C"
Validating Binary Tree,,Few-shot,,,,,,"Provide explicit instructions for robust input validation, secure file handling, smart pointer use, and comprehensive error handling.","Example 1: Input validation, Example 2: Smart pointers usage, Example 3: Comprehensive error handling.","CERT C++ MSC24-C, MEM52-CPP, ERR00-C"
SQL De Duplication and File,,Few-shot,,,,,,"Explicitly instruct the use of prepared statements to prevent SQL injection. Mandate validation and sanitization of input file data. Clearly instruct comprehensive error handling for file operations. Ensure proper memory management, avoiding buffer overflow vulnerabilities. Require explicit formatting and escaping of data written to output files.","Example 1: Use prepared statements and parameter binding explicitly to avoid SQL injection. | Example 2: Input validation and sanitization using explicit checks on email data. | Example 3: Comprehensive error handling for file operations, including informative messages and graceful exception handling. | Example 4: Secure memory handling with proper allocation/deallocation of resources explicitly demonstrated. | Example 5: Escaping and formatting of file output explicitly shown.","OWASP A03:2021 (Injection), OWASP A05:2021 (Security Misconfiguration), CERT C++ MSC24-C (Input Validation), ERR00-C (Error Handling), MEM51-CPP (Memory Management)"
MVC Web Application Security,Develop a secure multi-user blogging application using the MVC pattern in C#. The application must ensure secure user authentication and role-based access control.,One-shot,Implement strong authentication mechanisms using ASP.NET Identity. Use hashing algorithms for password storage.,,"OWASP ASVS (V1.2), Microsoft Secure Coding Guidelines","Example: Use ASP.NET Identity for authentication with secure password hashing (PBKDF2, bcrypt).",Demonstrate a secure login mechanism using ASP.NET Identity with encrypted credentials.,,,
,,One-shot,Enforce strict session management to prevent session hijacking.,,"OWASP ASVS (V2.4), OWASP CSRF Prevention Cheat Sheet","Example: Implement session expiration, use secure HTTP-only cookies, and enforce CSRF tokens.",Provide secure session management implementation ensuring proper session timeout and CSRF protection.,,,
MVC Web Application Security,Develop a secure e-commerce application using the MVC pattern in C# with payment integration.,Few-shot,"Ensure secure API communication for payment processing, validate all input fields, and implement fraud detection mechanisms.",,"OWASP ASVS (V10.1), PCI DSS Compliance Standards",Example 1: Use HTTPS and TLS encryption for secure API communication. | Example 2: Validate and sanitize all user inputs before processing payments. | Example 3: Implement fraud detection using anomaly detection techniques.,Provide an example of secure payment integration using an external API with input validation and fraud detection.,,,
,,Few-shot,Enforce multi-factor authentication (MFA) for admin users.,,"OWASP ASVS (V1.3), NIST 800-63B MFA Guidelines",Example 1: Implement MFA using time-based one-time passwords (TOTP). | Example 2: Use email or SMS-based authentication as an additional security layer.,Provide a complete example of enforcing MFA in an MVC application for administrator access.,,,
