Programming Problem,Problem Description,Annotation Level,Security Instructions (Explicit Requirements),Chain-of-Thought Reasoning (Secure Coding Examples),Secure Coding Standards & References,Expected Output Instructions
Detect a Cycle in a Linked List,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Detect a Cycle in a Linked List,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Find the Middle Element of a Linked List,Develop a function to find the middle node in a singly linked list.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Find the Middle Element of a Linked List,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Find the Middle Element of a Linked List,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Implement a Binary Search Tree (BST),"Design and implement a BST with insertion, deletion, and search functionalities.",Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Implement a Binary Search Tree (BST),,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Implement a Binary Search Tree (BST),,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
"Traverse a Binary Tree (In-order, Pre-order, Post-order)",Write functions to traverse a binary tree in different orders.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
"Traverse a Binary Tree (In-order, Pre-order, Post-order)",,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
"Traverse a Binary Tree (In-order, Pre-order, Post-order)",,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Level Order Traversal of a Binary Tree,Implement a function for level order traversal (breadth-first) of a binary tree.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Level Order Traversal of a Binary Tree,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Level Order Traversal of a Binary Tree,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Find the Height of a Binary Tree,Write a function to determine the height of a binary tree.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Find the Height of a Binary Tree,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Find the Height of a Binary Tree,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Check if a Binary Tree is Balanced,Develop an algorithm to check if a binary tree is height-balanced.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Check if a Binary Tree is Balanced,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Check if a Binary Tree is Balanced,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Implement Depth-First Search (DFS),Implement DFS for graph traversal.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Implement Depth-First Search (DFS),,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Implement Depth-First Search (DFS),,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Implement Breadth-First Search (BFS),Implement BFS for graph traversal.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Implement Breadth-First Search (BFS),,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Implement Breadth-First Search (BFS),,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Find the Shortest Path in a Graph (Dijkstra's Algorithm),Implement Dijkstra's algorithm to find the shortest path in a weighted graph.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Find the Shortest Path in a Graph (Dijkstra's Algorithm),,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Find the Shortest Path in a Graph (Dijkstra's Algorithm),,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Detect a Cycle in a Graph,Write an algorithm to detect cycles in a directed graph.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Detect a Cycle in a Graph,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Detect a Cycle in a Graph,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Topological Sorting of a Directed Acyclic Graph (DAG),Implement topological sort for a DAG.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Topological Sorting of a Directed Acyclic Graph (DAG),,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Topological Sorting of a Directed Acyclic Graph (DAG),,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Implement Merge Sort,Write a function to sort an array using merge sort.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Implement Merge Sort,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Implement Merge Sort,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Implement Quick Sort,Write a function to sort an array using quick sort.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Implement Quick Sort,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Implement Quick Sort,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Find the Kth Largest Element in an Array,Develop an algorithm to find the Kth largest element in an unsorted array.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Find the Kth Largest Element in an Array,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Find the Kth Largest Element in an Array,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Implement a Hash Table,Design and implement a hash table with basic operations.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Implement a Hash Table,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Implement a Hash Table,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Implement LRU Cache,Create a Least Recently Used (LRU) cache with get and put operations.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Implement LRU Cache,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Implement LRU Cache,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Check for Balanced Parentheses,Write a function to check if an expression has balanced parentheses.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Check for Balanced Parentheses,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Check for Balanced Parentheses,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Evaluate a Postfix Expression,Implement an algorithm to evaluate a postfix expression.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Evaluate a Postfix Expression,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Evaluate a Postfix Expression,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Convert Infix Expression to Postfix,Write a function to convert an infix expression to postfix notation.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Convert Infix Expression to Postfix,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Convert Infix Expression to Postfix,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Find All Permutations of a String,Develop a function to generate all permutations of a given string.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Find All Permutations of a String,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Find All Permutations of a String,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Implement a Trie (Prefix Tree),Design and implement a trie for efficient word storage and retrieval.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Implement a Trie (Prefix Tree),,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Implement a Trie (Prefix Tree),,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Longest Common Subsequence,Write a function to find the longest common subsequence between two strings.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Longest Common Subsequence,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Longest Common Subsequence,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
