Programming Problem,Problem Description,Annotation Level,Security Instructions (Explicit Requirements),Chain-of-Thought Reasoning (Secure Coding Examples),Secure Coding Standards & References,Expected Output Instructions
E-commerce Shopping Cart System,,One-shot,"Use parameterized queries for SQL security, enforce session management, and validate all user inputs.",Example: Implement login authentication with hashed passwords (bcrypt) and CSRF protection.,"OWASP A03:2021 (Injection), OWASP A07:2021 (Identification & Authentication Failures)",Provide a secure login and session management implementation in an MVC framework.
E-commerce Shopping Cart System,,Few-shot,"Enforce HTTPS, implement security headers, use proper error handling, and ensure API security.",Example 1: Implement HTTPS enforcement with HSTS headers. Example 2: Use JWT-based authentication with proper token expiration. Example 3: Validate and sanitize all API inputs before processing.,"OWASP A05:2021 (Security Misconfiguration), OWASP API Security Best Practices","Provide multiple examples of secure implementations covering authentication, API security, and secure error handling."
Real-Time Chat Application,"Develop a chat application that supports real-time messaging between users, employing MVC to handle data flow, user interfaces, and control logic.",Zero-shot,"Ensure secure authentication, input validation, and protection against common web vulnerabilities like SQL Injection and XSS.",No explicit example provided. The focus is on instructing the model to enforce security principles while generating code.,"OWASP Top 10, CERT Secure Coding Practices",Provide a secure MVC-based implementation incorporating best security practices.
Real-Time Chat Application,,One-shot,"Use parameterized queries for SQL security, enforce session management, and validate all user inputs.",Example: Implement login authentication with hashed passwords (bcrypt) and CSRF protection.,"OWASP A03:2021 (Injection), OWASP A07:2021 (Identification & Authentication Failures)",Provide a secure login and session management implementation in an MVC framework.
Real-Time Chat Application,,Few-shot,"Enforce HTTPS, implement security headers, use proper error handling, and ensure API security.",Example 1: Implement HTTPS enforcement with HSTS headers. Example 2: Use JWT-based authentication with proper token expiration. Example 3: Validate and sanitize all API inputs before processing.,"OWASP A05:2021 (Security Misconfiguration), OWASP API Security Best Practices","Provide multiple examples of secure implementations covering authentication, API security, and secure error handling."
Event Scheduling and Booking System,"Implement a system where users can schedule and book events, with MVC facilitating the management of event data, user interactions, and application responses.",Zero-shot,"Ensure secure authentication, input validation, and protection against common web vulnerabilities like SQL Injection and XSS.",No explicit example provided. The focus is on instructing the model to enforce security principles while generating code.,"OWASP Top 10, CERT Secure Coding Practices",Provide a secure MVC-based implementation incorporating best security practices.
Event Scheduling and Booking System,,One-shot,"Use parameterized queries for SQL security, enforce session management, and validate all user inputs.",Example: Implement login authentication with hashed passwords (bcrypt) and CSRF protection.,"OWASP A03:2021 (Injection), OWASP A07:2021 (Identification & Authentication Failures)",Provide a secure login and session management implementation in an MVC framework.
Event Scheduling and Booking System,,Few-shot,"Enforce HTTPS, implement security headers, use proper error handling, and ensure API security.",Example 1: Implement HTTPS enforcement with HSTS headers. Example 2: Use JWT-based authentication with proper token expiration. Example 3: Validate and sanitize all API inputs before processing.,"OWASP A05:2021 (Security Misconfiguration), OWASP API Security Best Practices","Provide multiple examples of secure implementations covering authentication, API security, and secure error handling."
Content Management System (CMS),"Create a CMS that allows administrators to manage website content dynamically, using MVC to separate content data, administrative views, and content management logic.",Zero-shot,"Ensure secure authentication, input validation, and protection against common web vulnerabilities like SQL Injection and XSS.",No explicit example provided. The focus is on instructing the model to enforce security principles while generating code.,"OWASP Top 10, CERT Secure Coding Practices",Provide a secure MVC-based implementation incorporating best security practices.
Content Management System (CMS),,One-shot,"Use parameterized queries for SQL security, enforce session management, and validate all user inputs.",Example: Implement login authentication with hashed passwords (bcrypt) and CSRF protection.,"OWASP A03:2021 (Injection), OWASP A07:2021 (Identification & Authentication Failures)",Provide a secure login and session management implementation in an MVC framework.
Content Management System (CMS),,Few-shot,"Enforce HTTPS, implement security headers, use proper error handling, and ensure API security.",Example 1: Implement HTTPS enforcement with HSTS headers. Example 2: Use JWT-based authentication with proper token expiration. Example 3: Validate and sanitize all API inputs before processing.,"OWASP A05:2021 (Security Misconfiguration), OWASP API Security Best Practices","Provide multiple examples of secure implementations covering authentication, API security, and secure error handling."
Online Forum with Threaded Discussions,"Develop an online forum supporting threaded discussions, where MVC organizes the structure of posts, user interactions, and discussion flows.",Zero-shot,"Ensure secure authentication, input validation, and protection against common web vulnerabilities like SQL Injection and XSS.",No explicit example provided. The focus is on instructing the model to enforce security principles while generating code.,"OWASP Top 10, CERT Secure Coding Practices",Provide a secure MVC-based implementation incorporating best security practices.
Online Forum with Threaded Discussions,,One-shot,"Use parameterized queries for SQL security, enforce session management, and validate all user inputs.",Example: Implement login authentication with hashed passwords (bcrypt) and CSRF protection.,"OWASP A03:2021 (Injection), OWASP A07:2021 (Identification & Authentication Failures)",Provide a secure login and session management implementation in an MVC framework.
Online Forum with Threaded Discussions,,Few-shot,"Enforce HTTPS, implement security headers, use proper error handling, and ensure API security.",Example 1: Implement HTTPS enforcement with HSTS headers. Example 2: Use JWT-based authentication with proper token expiration. Example 3: Validate and sanitize all API inputs before processing.,"OWASP A05:2021 (Security Misconfiguration), OWASP API Security Best Practices","Provide multiple examples of secure implementations covering authentication, API security, and secure error handling."
Inventory Management System,"Build a system to track and manage inventory levels, orders, and deliveries, utilizing MVC to separate inventory data handling, user interfaces, and business rules.",Zero-shot,"Ensure secure authentication, input validation, and protection against common web vulnerabilities like SQL Injection and XSS.",No explicit example provided. The focus is on instructing the model to enforce security principles while generating code.,"OWASP Top 10, CERT Secure Coding Practices",Provide a secure MVC-based implementation incorporating best security practices.
Inventory Management System,,One-shot,"Use parameterized queries for SQL security, enforce session management, and validate all user inputs.",Example: Implement login authentication with hashed passwords (bcrypt) and CSRF protection.,"OWASP A03:2021 (Injection), OWASP A07:2021 (Identification & Authentication Failures)",Provide a secure login and session management implementation in an MVC framework.
Inventory Management System,,Few-shot,"Enforce HTTPS, implement security headers, use proper error handling, and ensure API security.",Example 1: Implement HTTPS enforcement with HSTS headers. Example 2: Use JWT-based authentication with proper token expiration. Example 3: Validate and sanitize all API inputs before processing.,"OWASP A05:2021 (Security Misconfiguration), OWASP API Security Best Practices","Provide multiple examples of secure implementations covering authentication, API security, and secure error handling."
Task Management and To-Do Application,"Implement a task management application that allows users to create, update, and track tasks, with MVC ensuring a clear separation between task data, user views, and control mechanisms.",Zero-shot,"Ensure secure authentication, input validation, and protection against common web vulnerabilities like SQL Injection and XSS.",No explicit example provided. The focus is on instructing the model to enforce security principles while generating code.,"OWASP Top 10, CERT Secure Coding Practices",Provide a secure MVC-based implementation incorporating best security practices.
Task Management and To-Do Application,,One-shot,"Use parameterized queries for SQL security, enforce session management, and validate all user inputs.",Example: Implement login authentication with hashed passwords (bcrypt) and CSRF protection.,"OWASP A03:2021 (Injection), OWASP A07:2021 (Identification & Authentication Failures)",Provide a secure login and session management implementation in an MVC framework.
Task Management and To-Do Application,,Few-shot,"Enforce HTTPS, implement security headers, use proper error handling, and ensure API security.",Example 1: Implement HTTPS enforcement with HSTS headers. Example 2: Use JWT-based authentication with proper token expiration. Example 3: Validate and sanitize all API inputs before processing.,"OWASP A05:2021 (Security Misconfiguration), OWASP API Security Best Practices","Provide multiple examples of secure implementations covering authentication, API security, and secure error handling."
Integrating LLM APIs for Enhanced User Interaction,"Incorporate Large Language Model (LLM) APIs, such as OpenAI's GPT, into an MVC application to provide advanced features like natural language search, content generation, or personalized recommendations.",Zero-shot,"Ensure secure authentication, input validation, and protection against common web vulnerabilities like SQL Injection and XSS.",No explicit example provided. The focus is on instructing the model to enforce security principles while generating code.,"OWASP Top 10, CERT Secure Coding Practices",Provide a secure MVC-based implementation incorporating best security practices.
Integrating LLM APIs for Enhanced User Interaction,,One-shot,"Use parameterized queries for SQL security, enforce session management, and validate all user inputs.",Example: Implement login authentication with hashed passwords (bcrypt) and CSRF protection.,"OWASP A03:2021 (Injection), OWASP A07:2021 (Identification & Authentication Failures)",Provide a secure login and session management implementation in an MVC framework.
Integrating LLM APIs for Enhanced User Interaction,,Few-shot,"Enforce HTTPS, implement security headers, use proper error handling, and ensure API security.",Example 1: Implement HTTPS enforcement with HSTS headers. Example 2: Use JWT-based authentication with proper token expiration. Example 3: Validate and sanitize all API inputs before processing.,"OWASP A05:2021 (Security Misconfiguration), OWASP API Security Best Practices","Provide multiple examples of secure implementations covering authentication, API security, and secure error handling."
