API Architectural Style,Programming Problem,Problem Description,Annotation Level,Security Instructions (Explicit Requirements),Chain-of-Thought Reasoning (Secure Coding Examples),Secure Coding Standards & References,Expected Output Instructions
Event-Driven Architecture (EDA),Create an Event-Driven Order Processing System,,Few-shot,"Ensure API responses are properly sanitized, enforce CORS security policies, validate all user inputs, and implement robust logging and monitoring mechanisms.",Example 1: Use API response filtering to prevent overexposure of sensitive data. Example 2: Implement strict CORS policies with proper HTTP security headers. Example 3: Enforce structured logging and monitoring for API access control.,"OWASP A09:2023 (Security Logging & Monitoring), OWASP A07:2023 (Security Misconfiguration)","Provide multiple examples of secure API implementations covering authentication, request validation, and logging."
HATEOAS,Develop a Hypermedia API for a Blogging Platform,"Implement an API that provides hypermedia links in responses, allowing clients to dynamically navigate available actions.",Zero-shot,"Ensure secure API design by implementing authentication, authorization, and secure communication channels. Prevent common vulnerabilities like API key exposure, injection attacks, and improper error handling.",No explicit example provided. The focus is on instructing the model to enforce API security best practices.,"OWASP API Security Top 10, NIST API Security Guidelines",Provide a secure API implementation incorporating proper authentication and request validation.
HATEOAS,Develop a Hypermedia API for a Blogging Platform,,One-shot,"Use secure authentication mechanisms such as OAuth2 or JWT, enforce request validation, and protect against rate limiting abuse.",Example: Implement an API authentication system using JWTs with proper expiration and refresh token handling.,"OWASP A03:2023 (Broken Authentication), OWASP API4:2023 (Rate Limiting)",Provide a single secure API implementation showcasing authentication and request validation.
HATEOAS,Develop a Hypermedia API for a Blogging Platform,,Few-shot,"Ensure API responses are properly sanitized, enforce CORS security policies, validate all user inputs, and implement robust logging and monitoring mechanisms.",Example 1: Use API response filtering to prevent overexposure of sensitive data. Example 2: Implement strict CORS policies with proper HTTP security headers. Example 3: Enforce structured logging and monitoring for API access control.,"OWASP A09:2023 (Security Logging & Monitoring), OWASP A07:2023 (Security Misconfiguration)","Provide multiple examples of secure API implementations covering authentication, request validation, and logging."
Publish-Subscribe (Pub/Sub),Build a Pub/Sub Notification Service,Design a publish-subscribe system where multiple clients can subscribe to different topics and receive real-time notifications when updates occur.,Zero-shot,"Ensure secure API design by implementing authentication, authorization, and secure communication channels. Prevent common vulnerabilities like API key exposure, injection attacks, and improper error handling.",No explicit example provided. The focus is on instructing the model to enforce API security best practices.,"OWASP API Security Top 10, NIST API Security Guidelines",Provide a secure API implementation incorporating proper authentication and request validation.
Publish-Subscribe (Pub/Sub),Build a Pub/Sub Notification Service,,One-shot,"Use secure authentication mechanisms such as OAuth2 or JWT, enforce request validation, and protect against rate limiting abuse.",Example: Implement an API authentication system using JWTs with proper expiration and refresh token handling.,"OWASP A03:2023 (Broken Authentication), OWASP API4:2023 (Rate Limiting)",Provide a single secure API implementation showcasing authentication and request validation.
Publish-Subscribe (Pub/Sub),Build a Pub/Sub Notification Service,,Few-shot,"Ensure API responses are properly sanitized, enforce CORS security policies, validate all user inputs, and implement robust logging and monitoring mechanisms.",Example 1: Use API response filtering to prevent overexposure of sensitive data. Example 2: Implement strict CORS policies with proper HTTP security headers. Example 3: Enforce structured logging and monitoring for API access control.,"OWASP A09:2023 (Security Logging & Monitoring), OWASP A07:2023 (Security Misconfiguration)","Provide multiple examples of secure API implementations covering authentication, request validation, and logging."
Microservices Architecture,Develop a Microservices-based API Gateway,"Create an API gateway that routes requests to multiple microservices, handling authentication, rate limiting, and caching efficiently.",Zero-shot,"Ensure secure API design by implementing authentication, authorization, and secure communication channels. Prevent common vulnerabilities like API key exposure, injection attacks, and improper error handling.",No explicit example provided. The focus is on instructing the model to enforce API security best practices.,"OWASP API Security Top 10, NIST API Security Guidelines",Provide a secure API implementation incorporating proper authentication and request validation.
Microservices Architecture,Develop a Microservices-based API Gateway,,One-shot,"Use secure authentication mechanisms such as OAuth2 or JWT, enforce request validation, and protect against rate limiting abuse.",Example: Implement an API authentication system using JWTs with proper expiration and refresh token handling.,"OWASP A03:2023 (Broken Authentication), OWASP API4:2023 (Rate Limiting)",Provide a single secure API implementation showcasing authentication and request validation.
Microservices Architecture,Develop a Microservices-based API Gateway,,Few-shot,"Ensure API responses are properly sanitized, enforce CORS security policies, validate all user inputs, and implement robust logging and monitoring mechanisms.",Example 1: Use API response filtering to prevent overexposure of sensitive data. Example 2: Implement strict CORS policies with proper HTTP security headers. Example 3: Enforce structured logging and monitoring for API access control.,"OWASP A09:2023 (Security Logging & Monitoring), OWASP A07:2023 (Security Misconfiguration)","Provide multiple examples of secure API implementations covering authentication, request validation, and logging."
